2023-05-24 05:40:37,656, DEBUG, 123, root
2023-05-24 05:40:37,656, INFO, Сообщение отправлено, root
2023-05-24 05:40:37,656, WARNING, Большая нагрузка!, root
2023-05-24 05:40:37,656, ERROR, Бот не смог отправить сообщение, root
2023-05-24 05:40:37,656, CRITICAL, Всё упало! Зовите админа!1!111, root
2023-05-24 05:46:36,470, DEBUG, 123, root
2023-05-24 05:46:36,470, INFO, Сообщение отправлено, root
2023-05-24 05:46:36,470, WARNING, Большая нагрузка!, root
2023-05-24 05:46:36,470, ERROR, Бот не смог отправить сообщение, root
2023-05-24 05:46:36,470, CRITICAL, Всё упало! Зовите админа!1!111, root
2023-05-24 05:46:58,763, DEBUG, 123, root
2023-05-24 05:46:58,763, INFO, Сообщение отправлено, root
2023-05-24 05:46:58,763, WARNING, Большая нагрузка!, root
2023-05-24 05:46:58,763, ERROR, Бот не смог отправить сообщение, root
2023-05-24 05:46:58,763, CRITICAL, Всё упало! Зовите админа!1!111, root
2023-05-24 05:48:29,297, DEBUG, 123, root
2023-05-24 05:48:29,298, INFO, Сообщение отправлено, root
2023-05-24 05:48:29,298, WARNING, Большая нагрузка!, root
2023-05-24 05:48:29,298, ERROR, Бот не смог отправить сообщение, root
2023-05-24 05:48:29,298, CRITICAL, Всё упало! Зовите админа!1!111, root
